Example: (you can delete this)

*make sure to create your own blank text document locally (downloaded ones might not work)

CRE14IB	GCA_009429045.2
XH1568	GCA_011383025.1
XH1569	GCA_011383045.1
FDAARGOS_80	GCA_000783595.2
FDAARGOS_67	GCA_000783875.2
6Pmi283	GCA_019192645.1
MPE5203	GCA_013357565.1
PmBJ023-2	GCA_015694005.1
PmBJ015-2	GCA_015693865.1
PmBJ012-2	GCA_015693965.1
PmBJ024-1	GCA_015693985.1
PmBJ020-1	GCA_015694025.1
N18-00201	GCA_010442675.1
DP2019	GCA_026167565.1
CYPM1	GCA_001281545.1
PM52808	GCA_016939735.1
CRPM10	GCA_008195605.1
T18	GCA_002310895.1
XH983	GCA_025264285.1
XH1653	GCA_018972025.2
FDAARGOS_60	GCA_000784015.2
ENT1157	GCA_009684665.1
MPE5139	GCA_013357545.1
T21	GCA_002310875.1
VAC	GCA_008041895.1
FDAARGOS_81	GCA_000783575.2
PmBR607	GCA_011149675.1
AOUC-001	GCA_001640985.1
L90-1	GCA_013343255.1
PM1162	GCA_021228935.1
PM8762	GCA_022453625.1
HURS-181823	GCA_023242175.1
HURS-186083	GCA_023242195.1
PM52260	GCA_016939715.1
